,dates,Unnamed: 0,rating,month,year,moving
254,2018-11-21,560.6666666666666,3.3333333333333335,11.0,2018.0,4.383333333333333
255,2018-11-22,369.0,5.0,11.0,2018.0,4.383333333333333
256,2018-11-23,368.0,5.0,11.0,2018.0,4.383333333333333
257,2018-11-24,940.0,5.0,11.0,2018.0,4.383333333333333
258,2018-11-25,940.0,5.0,11.0,2018.0,4.383333333333333
259,2018-11-26,813.0,3.3333333333333335,11.0,2018.0,4.316666666666666
260,2018-11-27,364.0,4.666666666666667,11.0,2018.0,4.283333333333333
261,2018-11-28,1549.0,5.0,11.0,2018.0,4.416666666666666
262,2018-11-29,362.0,4.0,11.0,2018.0,4.366666666666666
263,2018-11-30,1705.0,5.0,11.0,2018.0,4.5
264,2018-12-01,808.3333333333334,3.3333333333333335,12.0,2018.0,4.366666666666667
265,2018-12-02,358.0,3.3333333333333335,12.0,2018.0,4.366666666666667
266,2018-12-03,1303.5,4.0,12.0,2018.0,4.2666666666666675
267,2018-12-04,647.0,5.0,12.0,2018.0,4.2666666666666675
268,2018-12-05,647.0,5.0,12.0,2018.0,4.2666666666666675
269,2018-12-06,1546.5,4.0,12.0,2018.0,4.166666666666667
270,2018-12-07,936.5,5.0,12.0,2018.0,4.333333333333334
271,2018-12-08,945.0,4.666666666666667,12.0,2018.0,4.333333333333334
272,2018-12-09,1337.8,5.0,12.0,2018.0,4.333333333333334
273,2018-12-10,1501.25,4.625,12.0,2018.0,4.395833333333334
274,2018-12-11,1530.25,5.0,12.0,2018.0,4.395833333333334
275,2018-12-12,1918.5,3.0,12.0,2018.0,4.3625
276,2018-12-13,1300.5,3.5,12.0,2018.0,4.379166666666666
277,2018-12-14,1725.5,5.0,12.0,2018.0,4.479166666666666
278,2018-12-15,1572.0,3.857142857142857,12.0,2018.0,4.364880952380952
279,2018-12-16,1902.0,3.6,12.0,2018.0,4.324880952380952
280,2018-12-17,1740.1,3.2,12.0,2018.0,4.144880952380952
281,2018-12-18,1155.9,4.6,12.0,2018.0,4.138214285714286
282,2018-12-19,1747.4285714285713,4.571428571428571,12.0,2018.0,4.095357142857143
283,2018-12-20,1879.0,2.0,12.0,2018.0,3.8328571428571427
284,2018-12-21,1373.25,4.125,12.0,2018.0,3.745357142857143
285,2018-12-22,339.0,4.0,12.0,2018.0,3.845357142857143
286,2018-12-23,1845.0,2.857142857142857,12.0,2018.0,3.7810714285714284
287,2018-12-24,1427.857142857143,4.0,12.0,2018.0,3.6810714285714283
288,2018-12-25,1605.1666666666667,3.6666666666666665,12.0,2018.0,3.6620238095238093
289,2018-12-26,2020.0,4.2,12.0,2018.0,3.7220238095238094
290,2018-12-27,1721.0,3.9166666666666665,12.0,2018.0,3.7936904761904757
291,2018-12-28,1815.3333333333333,4.333333333333333,12.0,2018.0,3.767023809523809
292,2018-12-29,1683.1666666666667,3.1666666666666665,12.0,2018.0,3.6265476190476185
293,2018-12-30,1771.4,4.6,12.0,2018.0,3.8865476190476187
294,2018-12-31,1380.7142857142858,4.0,12.0,2018.0,3.8740476190476185
295,2019-01-01,1611.4545454545455,3.5454545454545454,1.0,2019.0,3.8285930735930735
296,2019-01-02,1463.5,4.166666666666667,1.0,2019.0,3.9595454545454545
297,2019-01-03,1793.875,3.375,1.0,2019.0,3.8970454545454545
298,2019-01-04,1507.8,3.4,1.0,2019.0,3.8703787878787876
299,2019-01-05,1788.1,4.0,1.0,2019.0,3.8503787878787876
300,2019-01-06,1732.2142857142858,4.142857142857143,1.0,2019.0,3.8729978354978356
301,2019-01-07,1782.0,3.6,1.0,2019.0,3.7996645021645024
302,2019-01-08,1587.0,4.222222222222222,1.0,2019.0,3.905220057720058
303,2019-01-09,1601.2,4.4,1.0,2019.0,3.8852200577200575
304,2019-01-10,1388.0,3.875,1.0,2019.0,3.872720057720058
305,2019-01-11,1753.1,4.3,1.0,2019.0,3.9481746031746026
306,2019-01-12,1515.0,3.5,1.0,2019.0,3.881507936507936
307,2019-01-13,1116.0,4.5,1.0,2019.0,3.9940079365079364
308,2019-01-14,1134.5714285714287,4.857142857142857,1.0,2019.0,4.139722222222222
309,2019-01-15,1716.0,3.5,1.0,2019.0,4.089722222222222
310,2019-01-16,1402.857142857143,2.857142857142857,1.0,2019.0,3.9611507936507926
311,2019-01-17,1506.1538461538462,3.076923076923077,1.0,2019.0,3.9088431013431006
312,2019-01-18,1722.2857142857142,4.285714285714286,1.0,2019.0,3.915192307692307
313,2019-01-19,1541.875,3.5,1.0,2019.0,3.825192307692307
314,2019-01-20,1557.5,4.3,1.0,2019.0,3.8676923076923067
315,2019-01-21,1474.1538461538462,4.538461538461538,1.0,2019.0,3.891538461538461
316,2019-01-22,1562.5454545454545,4.818181818181818,1.0,2019.0,4.023356643356643
317,2019-01-23,1495.857142857143,4.714285714285714,1.0,2019.0,4.044785214785215
318,2019-01-24,1126.8181818181818,4.181818181818182,1.0,2019.0,3.9772527472527472
319,2019-01-25,1487.5714285714287,4.285714285714286,1.0,2019.0,4.055824175824176
320,2019-01-26,1482.2857142857142,3.4285714285714284,1.0,2019.0,4.112967032967033
321,2019-01-27,1502.25,4.125,1.0,2019.0,4.217774725274725
322,2019-01-28,1537.4,3.0,1.0,2019.0,4.089203296703297
323,2019-01-29,1340.5,4.5,1.0,2019.0,4.189203296703297
324,2019-01-30,1636.4,3.2,1.0,2019.0,4.079203296703297
325,2019-01-31,1529.8,3.8,1.0,2019.0,4.005357142857143
326,2019-02-01,1656.125,4.0,2.0,2019.0,3.923538961038961
327,2019-02-02,1221.4,4.7,2.0,2019.0,3.9221103896103897
328,2019-02-03,1612.5,3.5,2.0,2019.0,3.853928571428572
329,2019-02-04,1633.8,4.2,2.0,2019.0,3.845357142857144
330,2019-02-05,1737.1818181818182,3.8181818181818183,2.0,2019.0,3.8843181818181827
331,2019-02-06,1389.8333333333333,4.5,2.0,2019.0,3.9218181818181828
332,2019-02-07,1600.0,5.0,2.0,2019.0,4.121818181818183
333,2019-02-08,1288.4615384615386,4.0,2.0,2019.0,4.071818181818182
334,2019-02-09,1571.8333333333333,3.6666666666666665,2.0,2019.0,4.118484848484849
335,2019-02-10,1109.25,4.5,2.0,2019.0,4.188484848484849
336,2019-02-11,1625.5,3.75,2.0,2019.0,4.163484848484849
337,2019-02-12,1385.3333333333333,4.0,2.0,2019.0,4.093484848484849
